# Constructed from biom file														
#OTU ID	K-7-4	K-7-5	K-7-6	K-7-7	M1-7-1	M1-7-2	M1-7-3	M1-7-4	M2-7-1	M2-7-2	M2-7-3	M2-7-4	M2-7-5	taxonomy
32bb6171d38e8d00f799793bf2b14745	0.224750667	0.822383968	0	0.728981823	0.586216757	0	0.218761394	5.741186775	0	0.103279112	0	0.277149321	0	d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfovirgulaceae;g__Desulfofundulus;s__Desulfofundulus australicus
7e1f31130c58757b131e4b22f6f4cc49	0	0.056716136	0	0.22061292	0.571918788	0.583928883	0	0.464199693	0.09263834	0.154918668	0.124501992	0.056561086	0.066507787	d__Bacteria;p__Bacillota_A;c__Thermosediminibacteria;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__Biomaibacter;s__Biomaibacter acetigenes
f98f3a4e19ddcbcb39c733d24fad8ad4	0	0	0	0	0.557620818	0.104584277	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae_C;g__Soehngenia;s__Soehngenia longivitae
875e5b3c2b3e6d32b3a1fbb016a7f1f9	0.182609917	0.434823707	0.412087912	3.126948348	0.514726909	1.995816629	0.182301162	6.717757828	0	0.37438678	2.265936255	0.407239819	1.00315912	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Petrotoga;s__Petrotoga mobilis
51d710146dbc1be62fa5764e5799c814	0	0	0.116229924	0	0.400343151	0	0	0.052550909	1.364871542	0	0	0.073529412	0.04988084	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Fervidobacterium
0fe601b908c3781e2ff488239e15a84a	0	0.307212402	0.042265427	0	0.314555333	0.095868921	0	0.048171666	1.049901186	0.167828557	0	0	0.033253893	d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Thermodesulfobacterium;s__Thermodesulfobacterium commune
6c8c18adb2281a14e920ae9f25388db1	0	0	0	0	0.300257363	0	0	0	0.018527668	0	0	0	0	d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfovirgulaceae;g__Desulfofundulus
107db8552f863136e5f7794c2efaade5	0	0	1.489856298	0	0.285959394	0.557782813	0	0	0	0	0.547808765	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales
f89461c1a49c3bd005ef8041582caad2	1.882286838	2.85943851	0.338123415	1.937556952	0.271661424	0.052292139	4.13042346	0.065688636	0.259387352	0.193648335	0.199203187	0	1.030870698	d__Bacteria
7e66f938b09bb1d8167d6694ff22b294	0.037458445	0	0	0.129490192	0.271661424	0	0.072920465	0.065688636	0.129693676	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Thermosediminibacteria;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__Biomaibacter;s__Biomaibacter acetigenes
