# Constructed from biom file																																
#OTU ID	4SU_day393	4SU_DW	4SU_PW0	4SU_PW01	4SU_PW06	4SU_PW14	4SU_PW180	4SU_PW210	4SU_PW36	4SU_PW90	6SM_day409	6SM_DW	6SM_PW0	6SM_PW01	6SM_PW06	6SM_PW14	6SM_PW180	6SM_PW210	6SM_PW36	6SM_PW90	7SU_day409	7SU_PW07	7SU_PW14	7SU_PW210	7SU_PW36	7SU_PW90	Poseidon-2	Poseidon-3	Poseidon-4	Poseidon-5	Poseidon-6	taxonomy
54605b5f62fa8a48a19e46dbb529d580	0	0	0	0	0	0	0	0	0	0	0	0	0	1760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria
2ea5280c74e1ead6c6cb00fda47fb752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	21	667	0	788	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
9131b243ff77177d7d46904a4b68b553	0	0	0	0	0	0	0	0	0	0	0	0	0	1713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria
20c2d5c0c35bbe12aa8d1ed41aef229a	0	0	0	0	0	0	0	0	0	0	0	0	0	1633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria
ed698db2609d5e3b1d33d05057fb3438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	260	502	0	411	394	0	0	0	0	0	0	0	0	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus;s__Methanothermococcus thermolithotrophicus
2aad6ba0964303363295893e20d1f672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	22	676	0	642	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
50f97a4ecf8cbccf3253b027dd277e4c	0	0	0	0	370	6	11	113	38	165	0	0	694	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Archaea;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanothermococcus;s__Methanothermococcus thermolithotrophicus
e7d7840b31420cf55852447dcfab507e	0	0	0	0	0	0	0	0	0	0	0	1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter
bfbe5d822e356a1c199ba451285627b7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	707	759	0	0	0	0	0	d__Bacteria;p__Bacillota_F;c__Halanaerobiia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium;s__Halanaerobium congolense
d529d4f2a0f31bb3fab0eb01dffd8eda	0	0	0	0	722	0	127	34	0	575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Petrotogaceae;g__Petrotoga
